INR;2 - 3;2.5 - 3.5;3 - 4
0,7;7,50%;10%;12,50%
0,8;7,50%;10%;12,50%
0,9;7,50%;10%;12,50%
1;7,50%;10%;12,50%
1,1;7,50%;10%;12,50%
1,2;7,50%;10%;12,50%
1,3;7,50%;10%;12,50%
1,4;7,50%;10%;12,50%
1,5;7,50%;7,50%;10%
1,6;5%;7,50%;10%
1,7;5%;7,50%;10%
1,8;5%;7,50%;10%
1,9;5%;7,50%;10%
2;0;7,50%;7,50%
2,1;0;5%;7,50%
2,2;0;5%;7,50%
2,3;0;5%;7,50%
2,4;0;5%;7,50%
2,5;0;0;7,50%
2,6;0;0;5%
2,7;0;0;5%
2,8;0;0;5%
2,9;0;0;5%
3;0;0;0
3,1;-5%;0;0
3,2;-5%;0;0
3,3;-5%;0;0
3,4;-5%;0;0
3,5;-5%;0;0
3,6;-7,50%;-5%;0
3,7;-7,50%;-5%;0
3,8;-7,50%;-5%;0
3,9;-7,50%;-5%;0
4;-7,50%;-5%;0
4,1;-7,50%;-7,50%;-5%
4,2;-7,50%;-7,50%;-5%
4,3;-7,50%;-7,50%;-5%
4,4;-7,50%;-7,50%;-5%
4,5;-7,50%;-7,50%;-5%
4,6;-10%;-7,50%;-7,50%
4,7;-10%;-7,50%;-7,50%
4,8;-10%;-7,50%;-7,50%
4,9;-10%;-7,50%;-7,50%
5;-10%;-10%;-7,50%
5,1;-10%;-10%;-7,50%
5,2;-10%;-10%;-7,50%
5,3;-10%;-10%;-7,50%
5,4;-10%;-10%;-7,50%
5,5;-10%;-10%;-10%
5,6;-10%;-10%;-10%
5,7;-10%;-10%;-10%
5,8;-10%;-10%;-10%
5,9;-10%;-10%;-10%
6;-12,50%;-12,50%;-10%
6,1;-12,50%;-12,50%;-10%
6,2;-12,50%;-12,50%;-10%
6,3;-12,50%;-12,50%;-10%
6,4;-12,50%;-12,50%;-10%
6,5;-12,50%;-12,50%;-12,50%
6,6;-12,50%;-12,50%;-12,50%
6,7;-12,50%;-12,50%;-12,50%
6,8;-12,50%;-12,50%;-12,50%
6,9;-12,50%;-12,50%;-12,50%
7;-12,50%;-12,50%;-12,50%
7,1;-12,50%;-12,50%;-12,50%
7,2;-12,50%;-12,50%;-12,50%
7,3;-12,50%;-12,50%;-12,50%
7,4;-12,50%;-12,50%;-12,50%
7,5;-12,50%;-12,50%;-12,50%
7,6;-12,50%;-12,50%;-12,50%
7,7;-12,50%;-12,50%;-12,50%
7,8;-12,50%;-12,50%;-12,50%
7,9;-12,50%;-12,50%;-12,50%
8;-12,50%;-12,50%;-12,50%
8,1;-12,50%;-12,50%;-12,50%
8,2;-12,50%;-12,50%;-12,50%
8,3;-12,50%;-12,50%;-12,50%
8,4;-12,50%;-12,50%;-12,50%
8,5;-12,50%;-12,50%;-12,50%
8,6;-12,50%;-12,50%;-12,50%
8,7;-12,50%;-12,50%;-12,50%
8,8;-12,50%;-12,50%;-12,50%
8,9;-12,50%;-12,50%;-12,50%
9;-12,50%;-12,50%;-12,50%
9,1;-12,50%;-12,50%;-12,50%
9,2;-12,50%;-12,50%;-12,50%
9,3;-12,50%;-12,50%;-12,50%
9,4;-12,50%;-12,50%;-12,50%
9,5;-12,50%;-12,50%;-12,50%
9,6;-12,50%;-12,50%;-12,50%
9,7;-12,50%;-12,50%;-12,50%
9,8;-12,50%;-12,50%;-12,50%
9,9;-12,50%;-12,50%;-12,50%
10;-15%;-15%;-15%
10,1;-15%;-15%;-15%
10,2;-15%;-15%;-15%
10,3;-15%;-15%;-15%
10,4;-15%;-15%;-15%
10,5;-15%;-15%;-15%
10,6;-15%;-15%;-15%
10,7;-15%;-15%;-15%
10,8;-15%;-15%;-15%
10,9;-15%;-15%;-15%
11;-15%;-15%;-15%
11,1;-15%;-15%;-15%
11,2;-15%;-15%;-15%
11,3;-15%;-15%;-15%
11,4;-15%;-15%;-15%
11,5;-15%;-15%;-15%
11,6;-15%;-15%;-15%
11,7;-15%;-15%;-15%
11,8;-15%;-15%;-15%
11,9;-15%;-15%;-15%
12;-15%;-15%;-15%
12,1;-15%;-15%;-15%
12,2;-15%;-15%;-15%
12,3;-15%;-15%;-15%
12,4;-15%;-15%;-15%
12,5;-15%;-15%;-15%
12,6;-15%;-15%;-15%
12,7;-15%;-15%;-15%
12,8;-15%;-15%;-15%
12,9;-15%;-15%;-15%
13;-15%;-15%;-15%
13,1;-15%;-15%;-15%
13,2;-15%;-15%;-15%
13,3;-15%;-15%;-15%
13,4;-15%;-15%;-15%
13,5;-15%;-15%;-15%
13,6;-15%;-15%;-15%
13,7;-15%;-15%;-15%
13,8;-15%;-15%;-15%
13,9;-15%;-15%;-15%
14;-15%;-15%;-15%
14,1;-15%;-15%;-15%
14,2;-15%;-15%;-15%
14,3;-15%;-15%;-15%
14,4;-15%;-15%;-15%
14,5;-15%;-15%;-15%
14,6;-15%;-15%;-15%
14,7;-15%;-15%;-15%
14,8;-15%;-15%;-15%
14,9;-15%;-15%;-15%
15;-15%;-15%;-15%
15,1;-15%;-15%;-15%
15,2;-15%;-15%;-15%